paises;CO2_TotalesMt;CO2kg_1000S;CO2t_per_capita;Var;enlace
Surinam;2,707;0,30;4,64;7,33%;/energia-y-medio-ambiente/emisiones-co2/surinam?anio=2021
Santo Tomé y Príncipe;0,153;0,17;0,69;4,99%;/energia-y-medio-ambiente/emisiones-co2/santo-tome-principe?anio=2021
El Salvador;8,176;0,14;1,26;10,43%;/energia-y-medio-ambiente/emisiones-co2/el-salvador?anio=2021
Siria;25,861;0,55;1,32;0,54%;/energia-y-medio-ambiente/emisiones-co2/siria?anio=2021
Suazilandia;1,509;0,14;1,03;2,55%;/energia-y-medio-ambiente/emisiones-co2/suazilandia?anio=2021
Chad;2,214;0,09;0,13;5,43%;/energia-y-medio-ambiente/emisiones-co2/chad?anio=2021
Togo;2,256;0,12;0,26;3,87%;/energia-y-medio-ambiente/emisiones-co2/togo?anio=2021
Tailandia;269,567;0,22;3,88;1,27%;/energia-y-medio-ambiente/emisiones-co2/tailandia?anio=2021
Tayikistán;10,126;0,27;1,05;7,89%;/energia-y-medio-ambiente/emisiones-co2/tayikistan?anio=2021
Timor Oriental;0,567;0,10;0,40;-1,10%;/energia-y-medio-ambiente/emisiones-co2/timor-oriental?anio=2021
Turkmenistán;83,322;0,85;13,62;13,57%;/energia-y-medio-ambiente/emisiones-co2/turkmenistan?anio=2021
Túnez;31,786;0,25;2,64;14,08%;/energia-y-medio-ambiente/emisiones-co2/tunez?anio=2021
Tonga;0,169;0,25;1,51;2,81%;/energia-y-medio-ambiente/emisiones-co2/tonga?anio=2021
Türkiye;449,725;0,17;5,32;7,11%;/energia-y-medio-ambiente/emisiones-co2/turquia?anio=2021
Trinidad y Tobago;28,995;0,84;21,01;-0,38%;/energia-y-medio-ambiente/emisiones-co2/trinidad-tobago?anio=2021
Taiwan;288,157;0,24;12,07;6,92%;/energia-y-medio-ambiente/emisiones-co2/taiwan?anio=2021
Tanzania;13,408;0,08;0,21;4,06%;/energia-y-medio-ambiente/emisiones-co2/tanzania?anio=2021
Ucrania;185,455;0,35;4,28;-1,75%;/energia-y-medio-ambiente/emisiones-co2/ucrania?anio=2021
Uganda;6,816;0,07;0,14;2,13%;/energia-y-medio-ambiente/emisiones-co2/uganda?anio=2021
Uruguay;6,790;0,09;1,94;7,62%;/energia-y-medio-ambiente/emisiones-co2/uruguay?anio=2021
Uzbekistán;125,654;0,47;3,73;1,60%;/energia-y-medio-ambiente/emisiones-co2/uzbekistan?anio=2021
San Vicente y las Granadinas;0,233;0,16;2,10;11,01%;/energia-y-medio-ambiente/emisiones-co2/san-vicente-las-granadinas?anio=2021
Venezuela;104,672;0,19;3,12;3,30%;/energia-y-medio-ambiente/emisiones-co2/venezuela?anio=2021
Vietnam;321,413;0,31;3,24;-1,12%;/energia-y-medio-ambiente/emisiones-co2/vietnam?anio=2021
Vanuatu;0,223;0,25;0,74;1,56%;/energia-y-medio-ambiente/emisiones-co2/vanuatu?anio=2021
Samoa;0,360;0,31;1,78;2,73%;/energia-y-medio-ambiente/emisiones-co2/samoa?anio=2021
Yemen;12,047;0,10;0,39;1,55%;/energia-y-medio-ambiente/emisiones-co2/yemen?anio=2021
Sudáfrica;435,523;0,55;7,34;0,70%;/energia-y-medio-ambiente/emisiones-co2/sudafrica?anio=2021
Zambia;7,011;0,11;0,36;2,87%;/energia-y-medio-ambiente/emisiones-co2/zambia?anio=2021
Zimbabue;12,293;0,23;0,68;5,17%;/energia-y-medio-ambiente/emisiones-co2/zimbabue?anio=2021
